"t","EIR_tot","slide_prev0to5","prop_killed_ivm","mv_dead","mvx_dead"
1,139.064941546028,0.624000884168645,NA,0,0
2,155.301922069117,0.624000884168645,0,5.48980117367367,0
3,165.396932374327,0.624000884168645,0,10.9796023473473,0
4,170.628680375287,0.624000884168645,0,16.469403521021,0
5,172.107017999068,0.624000884168645,0,21.9592046946947,0
6,170.88464781686,0.624000884168645,0,27.4490058683683,0
7,168.001822410892,0.624000884168645,0,32.938807042042,0
8,164.410457339635,0.624000884168645,0,38.4286082157157,0
9,160.849731937589,0.624000884168645,0,43.9184093893894,0
10,157.774868919952,0.624000884168645,0,49.408210563063,0
11,155.372639733286,0.624000884168645,0,54.8980117367367,0
12,153.638646732434,0.624000884168645,0,60.3878129104104,0
13,152.46636125674,0.6239998285345,0,65.877614084084,0
14,151.716437928387,0.624317235509937,0,71.3674152577577,0
15,151.258954743891,0.625066412841597,0,76.8572164314314,0
16,150.991169717605,0.626000019248187,0,82.347017605105,0
17,150.840011449094,0.626946097531891,0,87.8368187787787,0
18,150.757386470864,0.627793275661552,0,93.3266199524524,0
19,150.713499641233,0.628481067987851,0,98.8164211261261,0
20,150.69078172331,0.628990773407949,0,104.3062222998,0
21,150.679291723356,0.629334263118206,0,109.796023473473,0
22,150.673601812898,0.629541256939527,0,115.285824647147,0
23,150.670837708104,0.629647725265636,0,120.775625820821,0
24,150.669518308436,0.629687619907302,0,126.265426994494,0
25,150.668898620706,0.6296884925428,0,131.755228168168,0
26,150.668611848197,0.629670287787318,0,137.245029341842,0
27,150.668480958912,0.629646052480298,0,142.734830515515,0
28,150.668422100664,0.629623480726238,0,148.224631689189,0
29,150.668400156989,0.629606549174977,0,153.714432862863,0
30,150.668436130287,0.629596880960484,0,159.204234036536,0
31,150.668697469813,0.629594737471763,0,164.69403521021,0
32,150.669652918341,0.629599671139815,0,170.183836383884,0
33,150.672174728436,0.62961092123429,0,175.673637557557,0
34,150.677464701157,0.629627635799902,0,181.163438731231,0
35,150.686792631228,0.629648985365806,0,186.653239904905,0
36,150.701153951656,0.629674214024153,0,192.143041078578,0
37,150.720989071071,0.629702656647617,0,197.632842252252,0
38,150.746058653072,0.629733739170989,0,203.122643425926,0
39,150.77549237186,0.629766971340593,0,208.612444599599,0
40,150.807967037173,0.629801936820921,0,214.102245773273,0
41,150.841944140095,0.629838283059948,0,219.592046946947,0
42,150.875900611203,0.629875712414894,0,225.08184812062,0
43,150.908508200116,0.629913976550282,0,230.571649294294,0
44,150.938741966691,0.629952876445185,0,236.061450467968,0
45,150.965919390884,0.629992267678187,0,241.551251641641,0
46,150.989684787505,0.630032066174674,0,247.041052815315,0
47,151.009958613307,0.630072247677668,0,252.530853988989,0
48,151.026870606012,0.630112836790054,0,258.020655162662,0
49,151.040691367144,0.630153886451521,0,263.510456336336,0
50,151.051771888919,0.630195452824977,0,269.00025751001,0
51,151.060495522579,0.630237571867371,0,274.490058683683,0
52,151.067243444388,0.630280242610924,0,279.979859857357,0
53,151.07237230006,0.63032341956615,0,285.469661031031,0
54,151.076201683755,0.63036701401927,0,290.959462204704,0
55,151.079008859772,0.630410902149536,0,296.449263378378,0
56,151.081028345222,0.630454937052954,0,301.939064552052,0
57,151.082454463948,0.630498961843243,0,307.428865725726,0
58,151.083445462142,0.630542821609568,0,312.918666899399,0
59,151.084128241784,0.630586372882783,0,318.408468073073,0
60,151.08460311218,0.630629490059579,0,323.898269246746,0
61,151.084948233652,0.630672068870118,0,329.38807042042,0
62,151.0852235963,0.63071402735549,0,334.877871594094,0
63,151.085474493422,0.630755304994319,0,340.367672767767,0
64,151.085734513898,0.630795860628213,0,345.857473941441,0
65,151.086028094659,0.63083566974435,0,351.347275115115,0
66,151.086372680635,0.630874721549136,0,356.837076288789,0
67,151.086780519048,0.630913016125402,0,362.326877462462,0
68,151.087260102115,0.630950561853863,0,367.816678636136,0
69,151.087817267879,0.630987373186484,0,373.30647980981,0
70,151.088455971982,0.631023468795429,0,378.796280983483,0
71,151.089178763127,0.631058870084421,0,384.286082157157,0
72,151.089987012425,0.63109360002407,0,389.775883330831,0
73,151.090880964176,0.631127682265915,0,395.265684504504,0
74,151.091859682654,0.631161140487917,0,400.755485678178,0
75,151.092920965676,0.631193997926893,0,406.245286851851,0
76,151.094061282664,0.631226277060394,0,411.735088025525,0
77,151.095275775731,0.631257999405467,0,417.224889199199,0
78,151.096558341523,0.631289185407933,0,422.714690372873,0
79,151.097901792925,0.631319854400337,0,428.204491546546,0
80,151.099298085885,0.631350024609619,0,433.69429272022,0
81,151.100738588377,0.631379713198499,0,439.184093893894,0
82,151.10221436617,0.631408936326452,0,444.673895067567,0
83,151.103716461286,0.63143770921848,0,450.163696241241,0
84,151.105236144333,0.631466046232577,0,455.653497414915,0
85,151.106765127193,0.63149396091967,0,461.143298588588,0
86,151.108295729034,0.631521466072821,0,466.633099762262,0
87,151.10982099389,0.631548573765262,0,472.122900935936,0
88,151.111334762019,0.63157529537893,0,477.612702109609,0
89,151.112831700427,0.631601641626519,0,483.102503283283,0
90,151.114307299186,0.63162762257064,0,488.592304456957,0
91,151.115757841037,0.631653247643438,0,494.08210563063,0
92,151.117180351381,0.631678525669342,0,499.571906804304,0
93,151.118572535237,0.631703464892667,0,505.061707977978,0
94,151.119932706665,0.631728073010677,0,510.551509151651,0
95,151.121259715196,0.631752357211891,0,516.041310325325,0
96,151.122552872774,0.631776324218629,0,521.531111498999,0
97,151.123811883683,0.631799980332378,0,527.020912672672,0
98,151.125036779295,0.631823331480402,0,532.510713846346,0
99,151.126227858636,0.631846383261963,0,538.00051502002,0
100,146.871194242541,0.631869140992792,0,543.49375969777,0
101,145.276257993719,0.631891609746625,0,549.407710427986,0
102,143.655247541753,0.63191379439302,0,555.275817424957,0
103,142.053575199881,0.631935699630904,0,561.09309880633,0
104,140.471033243091,0.631957330017642,0,566.866342658792,0
105,138.907628917522,0.631978689993617,0,572.601430179176,0
106,137.364051121433,0.631999783902518,0,578.303456841669,0
107,135.842355085626,0.632020616007643,0,583.976837451022,0
108,134.34652330232,0.632041190504626,0,589.625397069238,0
109,132.882559948155,0.632061511531033,0,595.252449848694,0
110,131.458028636133,0.63208158317328,0,600.860867289977,0
111,130.081212873494,0.632101409471319,0,606.453137382649,0
112,128.760185505277,0.632126888642612,0,612.03141586059,0
113,127.502028303288,0.631728025659343,0,617.597570570483,0
114,126.312320198623,0.631281218646998,0,623.153219951215,0
